item,itemLabel,count
http://www.wikidata.org/entity/Q266127,Даниил Иванович Хармс,6
http://www.wikidata.org/entity/Q271457,Александр Иванович Куприн,6
http://www.wikidata.org/entity/Q102664,Михаил Таль,6
http://www.wikidata.org/entity/Q364252,Евгений Абрамович Баратынский,6
http://www.wikidata.org/entity/Q368812,Константин Георгиевич Паустовский,6
http://www.wikidata.org/entity/Q340122,"Норвид, Циприан Камиль",6
http://www.wikidata.org/entity/Q195390,Александр Беркман,6
http://www.wikidata.org/entity/Q348001,Райнис,6
http://www.wikidata.org/entity/Q204868,Евгений Иванович Замятин,6
http://www.wikidata.org/entity/Q217771,"Гурджиев, Георгий Иванович",6
http://www.wikidata.org/entity/Q313767,Василий Семёнович Гроссман,6
http://www.wikidata.org/entity/Q471664,Леонид Максимович Леонов,6
http://www.wikidata.org/entity/Q466595,"Сёдергран, Эдит",6
http://www.wikidata.org/entity/Q2390339,"Сухомлинский, Василий Александрович",6
http://www.wikidata.org/entity/Q4447408,"Сухоруков, Леонид Семёнович",6
http://www.wikidata.org/entity/Q1965002,Михаил Михайлович Жванецкий,6
http://www.wikidata.org/entity/Q18809,Анатолий Васильевич Луначарский,6
http://www.wikidata.org/entity/Q47900,Нестор Иванович Махно,6
http://www.wikidata.org/entity/Q181573,Фазиль Абдулович Искандер,5
http://www.wikidata.org/entity/Q171976,Александр Николаевич Островский,5
http://www.wikidata.org/entity/Q316086,Василий Макарович Шукшин,5
http://www.wikidata.org/entity/Q314498,Константин Дмитриевич Бальмонт,5
http://www.wikidata.org/entity/Q319816,"Сорокин, Питирим Александрович",5
http://www.wikidata.org/entity/Q186709,Николай Иванович Бухарин,5
http://www.wikidata.org/entity/Q315147,Андрей Платонович Платонов,5
http://www.wikidata.org/entity/Q192279,Алексей Николаевич Толстой,5
http://www.wikidata.org/entity/Q316374,Валерий Яковлевич Брюсов,5
http://www.wikidata.org/entity/Q121180,"Реймонт, Владислав",5
http://www.wikidata.org/entity/Q380214,"Макин, Андрей",5
http://www.wikidata.org/entity/Q335064,Владимир Галактионович Короленко,5
http://www.wikidata.org/entity/Q333411,Илья Григорьевич Чавчавадзе,5
http://www.wikidata.org/entity/Q304890,Абай Кунанбаев,5
http://www.wikidata.org/entity/Q220816,Варлам Тихонович Шаламов,5
http://www.wikidata.org/entity/Q239652,Булат Окуджава,5
http://www.wikidata.org/entity/Q141114,Сергей Довлатов,5
