item,itemLabel,count
http://www.wikidata.org/entity/Q152738,Анастас Иванович Микоян,49
http://www.wikidata.org/entity/Q157594,Василий Иванович Чуйков,49
http://www.wikidata.org/entity/Q165854,Лев Борисович Каменев,49
http://www.wikidata.org/entity/Q242474,Семён Михайлович Будённый,49
http://www.wikidata.org/entity/Q192331,Николай Гаврилович Чернышевский,48
http://www.wikidata.org/entity/Q157322,Ромен Гари,48
http://www.wikidata.org/entity/Q171976,Александр Николаевич Островский,47
http://www.wikidata.org/entity/Q189172,Андрей Витальевич Коротаев,47
http://www.wikidata.org/entity/Q271853,Николай Алексеевич Островский,47
http://www.wikidata.org/entity/Q108314,Антон Иванович Деникин,47
http://www.wikidata.org/entity/Q127017,Василий Васильевич Верещагин,47
http://www.wikidata.org/entity/Q304890,Абай Кунанбаев,47
http://www.wikidata.org/entity/Q317397,Узеир Гаджибеков,46
http://www.wikidata.org/entity/Q106374,Александр Халифман,46
http://www.wikidata.org/entity/Q204338,Родион Яковлевич Малиновский,46
http://www.wikidata.org/entity/Q212632,Андрей Белый,46
http://www.wikidata.org/entity/Q212889,"Корчной, Виктор Львович",46
http://www.wikidata.org/entity/Q239652,Булат Окуджава,46
http://www.wikidata.org/entity/Q2662849,Ирина Билык,46
http://www.wikidata.org/entity/Q60928,Владимир Всеволодович Мономах,46
http://www.wikidata.org/entity/Q275175,Витольд Гомбрович,45
http://www.wikidata.org/entity/Q296950,Антанас Сметона,45
http://www.wikidata.org/entity/Q228584,Светлана Иосифовна Аллилуева,45
http://www.wikidata.org/entity/Q238090,Шолом-Алейхем,45
http://www.wikidata.org/entity/Q36878,Расул Гамзатович Гамзатов,45
http://www.wikidata.org/entity/Q44695,Константин Михайлович Симонов,45
http://www.wikidata.org/entity/Q81445,Салават Юлаев,44
http://www.wikidata.org/entity/Q282280,Владимир Сергеевич Соловьёв,44
http://www.wikidata.org/entity/Q217771,"Гурджиев, Георгий Иванович",44
http://www.wikidata.org/entity/Q438839,"Дугин, Александр Гельевич",44
http://www.wikidata.org/entity/Q157176,Владислав Шпильман,44
http://www.wikidata.org/entity/Q312474,Андриян Григорьевич Николаев,44
http://www.wikidata.org/entity/Q246722,Виктор Пелевин,44
http://www.wikidata.org/entity/Q18809,Анатолий Васильевич Луначарский,44
http://www.wikidata.org/entity/Q49080,Исаак Эммануилович Бабель,44
http://www.wikidata.org/entity/Q35733,Велимир Хлебников,44
http://www.wikidata.org/entity/Q348497,Илья Григорьевич Эренбург,43
http://www.wikidata.org/entity/Q347685,Корней Иванович Чуковский,43
http://www.wikidata.org/entity/Q739413,Егише Чаренц,43
http://www.wikidata.org/entity/Q55198,"Довженко, Александр Петрович",43
http://www.wikidata.org/entity/Q316374,Валерий Яковлевич Брюсов,42
http://www.wikidata.org/entity/Q319816,"Сорокин, Питирим Александрович",42
http://www.wikidata.org/entity/Q125663,Борис Акунин,42
http://www.wikidata.org/entity/Q193674,Анри Труайя,42
http://www.wikidata.org/entity/Q144439,Болеслав Прус,42
http://www.wikidata.org/entity/Q211785,Михаил Евграфович Салтыков-Щедрин,42
http://www.wikidata.org/entity/Q236619,Андрей Андреевич Вознесенский,42
http://www.wikidata.org/entity/Q313455,Владимир Пропп,42
http://www.wikidata.org/entity/Q15001,Александр Сергеевич Грибоедов,42
http://www.wikidata.org/entity/Q315279,Габдулла Тукай,41
http://www.wikidata.org/entity/Q297758,"Саррот, Натали",41
http://www.wikidata.org/entity/Q220816,Варлам Тихонович Шаламов,41
http://www.wikidata.org/entity/Q141114,Сергей Довлатов,41
http://www.wikidata.org/entity/Q217470,Александр Николаевич Радищев,41
http://www.wikidata.org/entity/Q48067,Дмитрий Фёдорович Устинов,41
http://www.wikidata.org/entity/Q72579,Сэмюэл Голдвин,40
http://www.wikidata.org/entity/Q381944,Эльдар Александрович Рязанов,40
http://www.wikidata.org/entity/Q335064,Владимир Галактионович Короленко,40
http://www.wikidata.org/entity/Q209004,Николай Семёнович Лесков,40
http://www.wikidata.org/entity/Q297448,Антон Семёнович Макаренко,40
http://www.wikidata.org/entity/Q135481,Лев Гумилёв,40
http://www.wikidata.org/entity/Q212575,Алексей Константинович Толстой,40
http://www.wikidata.org/entity/Q213997,Александр Грин,40
http://www.wikidata.org/entity/Q310866,Леонид Николаевич Андреев,40
http://www.wikidata.org/entity/Q313461,Хачатур Аветикович Абовян,40
http://www.wikidata.org/entity/Q159933,Дмитрий Константинович Кантемир,40
http://www.wikidata.org/entity/Q60128,Александр Александрович Фадеев,40
http://www.wikidata.org/entity/Q315885,Денис Иванович Фонвизин,39
