item,itemLabel,dplace,dplaceLabel,dgeo,dmanner,dmannerLabel,dcause,dcauseLabel,burial,burialLabel,burialgeo
http://www.wikidata.org/entity/Q15402145,Q15402145,http://www.wikidata.org/entity/Q7968,Магадан,Point(90.0 65.0),,,,,,,
http://www.wikidata.org/entity/Q15402860,Q15402860,http://www.wikidata.org/entity/Q76467,Усть-Сысольский уезд,Point(52.692222222 61.917777777),,,,,,,
http://www.wikidata.org/entity/Q15402860,Q15402860,http://www.wikidata.org/entity/Q76467,Усть-Сысольский уезд,Point(54.8 64.4),,,,,,,
http://www.wikidata.org/entity/Q15402145,Q15402145,http://www.wikidata.org/entity/Q15180,СССР,Point(150.8 59.566666666),,,,,,,
http://www.wikidata.org/entity/Q15402140,Q15402140,http://www.wikidata.org/entity/Q1400416,Кослан,Point(48.89891 63.45641),,,,,,,
http://www.wikidata.org/entity/Q15402145,Q15402145,http://www.wikidata.org/entity/Q7968,Магадан,Point(150.8 59.566666666),,,,,,,
http://www.wikidata.org/entity/Q15402860,Q15402860,http://www.wikidata.org/entity/Q2037061,Подъельск,Point(52.692222222 61.917777777),,,,,,,
http://www.wikidata.org/entity/Q15204841,"Альбертон, Меер Иосифович",http://www.wikidata.org/entity/Q5337,Оренбург,Point(55.1 51.766666666),,,,,,,
http://www.wikidata.org/entity/Q15402860,Q15402860,http://www.wikidata.org/entity/Q2037061,Подъельск,Point(54.8 64.4),,,,,,,
http://www.wikidata.org/entity/Q15205166,"Биккулов, Шакир Салимович",http://www.wikidata.org/entity/Q911,Уфа,Point(55.9475 54.726111111),,,,,,,
http://www.wikidata.org/entity/Q15211461,"Эфферт-Клуссайс, Эрнст Эрнестович",http://www.wikidata.org/entity/Q649,Москва,Point(37.617777777 55.755833333),http://www.wikidata.org/entity/Q3739104,ненасильственная смерть,http://www.wikidata.org/entity/Q12204,туберкулёз,,,
http://www.wikidata.org/entity/Q15210383,"Рудаков, Сергей Борисович",http://www.wikidata.org/entity/Q189822,Могилёвская область,Point(30.3863 53.7254),http://www.wikidata.org/entity/Q18663901,смерть в бою,http://www.wikidata.org/entity/Q193078,травма,,,
http://www.wikidata.org/entity/Q15402152,Q15402152,http://www.wikidata.org/entity/Q2143,Сыктывкар,Point(50.816666666 61.666666666),,,,,,,
http://www.wikidata.org/entity/Q15402157,Q15402157,http://www.wikidata.org/entity/Q2143,Сыктывкар,Point(50.816666666 61.666666666),,,,,,,
http://www.wikidata.org/entity/Q15206285,"Горбачевский, Иван Данилович",http://www.wikidata.org/entity/Q955468,Рогачёв,Point(30.05 53.1),,,,,,,
http://www.wikidata.org/entity/Q15402188,Q15402188,http://www.wikidata.org/entity/Q2477924,Корткерос,Point(51.580555555 61.810555555),,,,,,,
http://www.wikidata.org/entity/Q15206264,"Голубева-Терес, Ольга Тимофеевна",http://www.wikidata.org/entity/Q5332,Саратов,Point(46.0 51.533333333),,,,,,,
http://www.wikidata.org/entity/Q15311692,"Дубас, Владас",http://www.wikidata.org/entity/Q4115712,Каунас,Point(23.933333333 54.9),,,,,,,
http://www.wikidata.org/entity/Q15205913,"Бухарев, Александр Матвеевич",http://www.wikidata.org/entity/Q178188,Переславль-Залесский,Point(38.856152777 56.738133333),,,,,,,
http://www.wikidata.org/entity/Q15402860,Q15402860,http://www.wikidata.org/entity/Q83075,Автономная область Коми (Зырян),Point(52.692222222 61.917777777),,,,,,,
http://www.wikidata.org/entity/Q15402854,Q15402854,http://www.wikidata.org/entity/Q2143,Сыктывкар,Point(50.816666666 61.666666666),,,,,,,
http://www.wikidata.org/entity/Q15402188,Q15402188,http://www.wikidata.org/entity/Q2477924,Корткерос,Point(51.576944444 61.803611111),,,,,,,
http://www.wikidata.org/entity/Q15686093,"Гаджиев, Расим Гаджиевич",http://www.wikidata.org/entity/Q5168,Махачкала,Point(47.483333333 42.983333333),,,,,,,
http://www.wikidata.org/entity/Q15621764,Хамид Гулям,http://www.wikidata.org/entity/Q269,Ташкент,Point(69.266666666 41.3),,,,,,,
http://www.wikidata.org/entity/Q15685971,"Туран, Митхас",http://www.wikidata.org/entity/Q6543,Хакасия,Point(90.0 53.5),,,,,,,
http://www.wikidata.org/entity/Q15640144,"Горбов, Яков Николаевич",http://www.wikidata.org/entity/Q90,Париж,Point(2.351388888 48.856944444),,,,,,,
http://www.wikidata.org/entity/Q15531128,"Фролов, Николай Адрианович",http://www.wikidata.org/entity/Q2143,Сыктывкар,Point(50.816666666 61.666666666),,,,,,,
http://www.wikidata.org/entity/Q15686067,"Дехоти, Абдусалом Пирмухаммад-заде",http://www.wikidata.org/entity/Q9365,Душанбе,Point(68.786388888 38.573055555),,,,,,,
http://www.wikidata.org/entity/Q15476923,"Джаббарзаде, Зейнал Аббас оглы",http://www.wikidata.org/entity/Q9248,Баку,Point(49.835183333 40.366655555),,,,,,,
http://www.wikidata.org/entity/Q15654729,"Шлун, Иоганн Даниэль",http://www.wikidata.org/entity/Q656,Санкт-Петербург,Point(30.316666666 59.95),,,,,,,
http://www.wikidata.org/entity/Q15629130,Степан Семёнович Кондурушкин,http://www.wikidata.org/entity/Q898,Омск,Point(73.383333333 54.966666666),,,,,,,
http://www.wikidata.org/entity/Q15636300,Пётр Дмитриевич Бутурлин,http://www.wikidata.org/entity/Q4449606,Таганча,Point(31.263611111 49.566111111),,,,,,,
http://www.wikidata.org/entity/Q15633182,Надежда Александровна Лухманова,http://www.wikidata.org/entity/Q128499,Ялта,Point(34.155277777 44.499444444),,,,,,,
http://www.wikidata.org/entity/Q15636994,Фёдор Владимирович Вишневский,http://www.wikidata.org/entity/Q656,Санкт-Петербург,Point(30.316666666 59.95),,,,,,,
http://www.wikidata.org/entity/Q15637096,Фёдор Алексеевич Червинский,http://www.wikidata.org/entity/Q656,Санкт-Петербург,Point(30.316666666 59.95),,,,,,,
http://www.wikidata.org/entity/Q15685968,Ким Цын Сон,http://www.wikidata.org/entity/Q7859,Южно-Сахалинск,Point(142.733333333 46.95),,,,,,,
http://www.wikidata.org/entity/Q15430192,Q15430192,http://www.wikidata.org/entity/Q65,Лос-Анджелес,Point(-118.24368 34.05223),,,,,,,
http://www.wikidata.org/entity/Q15649255,"Мишин, Армас Иосифович",http://www.wikidata.org/entity/Q38511,Турку,Point(22.27 60.451666666),,,,,,,
http://www.wikidata.org/entity/Q15653650,"Лозневой, Александр Никитич",http://www.wikidata.org/entity/Q2280,Минск,Point(27.561837 53.902246),,,,,,,
http://www.wikidata.org/entity/Q15453784,Виктор Викторович Гофман,http://www.wikidata.org/entity/Q90,Париж,Point(2.351388888 48.856944444),http://www.wikidata.org/entity/Q10737,самоубийство,,,,,
http://www.wikidata.org/entity/Q15686069,"Рахими, Мухаммеджан",http://www.wikidata.org/entity/Q9365,Душанбе,Point(68.786388888 38.573055555),,,,,,,
http://www.wikidata.org/entity/Q15706607,"Победоносцев, Сергей Петрович",http://www.wikidata.org/entity/Q649,Москва,Point(37.617777777 55.755833333),,,,,,,
http://www.wikidata.org/entity/Q15686283,"Кабдулов, Зейнулла",http://www.wikidata.org/entity/Q35493,Алма-Ата,Point(76.9 43.25),,,,,,,
http://www.wikidata.org/entity/Q15699948,"Писаревский, Пëтр Степанович",http://www.wikidata.org/entity/Q34266,Российская империя,Point(70.1167 58.65),,,,,,,
http://www.wikidata.org/entity/Q15699381,"Гибадуллин, Миннитагир Гибадуллинович",http://www.wikidata.org/entity/Q1094419,Кигинский район,Point(58.75 55.41667),,,,,,,
http://www.wikidata.org/entity/Q15699952,Александр Степанович Платов,http://www.wikidata.org/entity/Q656,Санкт-Петербург,Point(30.316666666 59.95),,,,,,,
http://www.wikidata.org/entity/Q15686414,"Ередеев, Александр Янганович",http://www.wikidata.org/entity/Q6025,Горно-Алтайск,Point(85.96 51.96),,,,,,,
