item,itemLabel,count
http://www.wikidata.org/entity/Q317040,Важа Пшавела,3
http://www.wikidata.org/entity/Q184535,Софья Васильевна Ковалевская,3
http://www.wikidata.org/entity/Q108314,Антон Иванович Деникин,3
http://www.wikidata.org/entity/Q266127,Даниил Иванович Хармс,3
http://www.wikidata.org/entity/Q188526,Марина Ивановна Цветаева,3
http://www.wikidata.org/entity/Q189950,Осип Эмильевич Мандельштам,3
http://www.wikidata.org/entity/Q400122,Агафангел Ефимович Крымский,3
http://www.wikidata.org/entity/Q333411,Илья Григорьевич Чавчавадзе,3
http://www.wikidata.org/entity/Q335142,Александр Александрович Богданов,3
http://www.wikidata.org/entity/Q380506,"Фредро, Александр",3
http://www.wikidata.org/entity/Q380797,Ованес Туманян,3
http://www.wikidata.org/entity/Q192442,Николай Михайлович Пржевальский,3
http://www.wikidata.org/entity/Q348497,Илья Григорьевич Эренбург,3
http://www.wikidata.org/entity/Q340122,"Норвид, Циприан Камиль",3
http://www.wikidata.org/entity/Q204868,Евгений Иванович Замятин,3
http://www.wikidata.org/entity/Q439566,Демьян Бедный,3
http://www.wikidata.org/entity/Q312627,Станислав Выспяньский,3
http://www.wikidata.org/entity/Q218319,Зофья Налковская,3
http://www.wikidata.org/entity/Q211785,Михаил Евграфович Салтыков-Щедрин,3
http://www.wikidata.org/entity/Q471207,Максим Адамович Богданович,3
http://www.wikidata.org/entity/Q2382842,Пантелеймон Александрович Кулиш,3
http://www.wikidata.org/entity/Q2367098,Николай Георгиевич Гарин-Михайловский,3
http://www.wikidata.org/entity/Q4152672,Виктор Михайлович Гусев,3
http://www.wikidata.org/entity/Q560238,Николай Мелитонович Бараташвили,3
http://www.wikidata.org/entity/Q561639,Фаддей Венедиктович Булгарин,3
http://www.wikidata.org/entity/Q600678,Алексей Николаевич Плещеев,3
http://www.wikidata.org/entity/Q4236579,"Коц, Аркадий Яковлевич",3
http://www.wikidata.org/entity/Q4234544,Фёдор Евгеньевич Корш,3
http://www.wikidata.org/entity/Q685053,Викентий Викентьевич Вересаев,3
http://www.wikidata.org/entity/Q4184678,"Закир, Касым-бек",3
http://www.wikidata.org/entity/Q2618170,Алексей Николаевич Апухтин,3
http://www.wikidata.org/entity/Q2639333,Михаил Александрович Максимович,3
http://www.wikidata.org/entity/Q760790,Август Альквист,3
http://www.wikidata.org/entity/Q739476,Q739476,3
http://www.wikidata.org/entity/Q924927,"Головинский, Матвей Васильевич",3
http://www.wikidata.org/entity/Q764438,"Нилус, Сергей Александрович",3
http://www.wikidata.org/entity/Q2718475,Владимир Григорьевич Чертков,3
http://www.wikidata.org/entity/Q742659,Николай Иванович Костомаров,3
http://www.wikidata.org/entity/Q2636522,Ашуг Алескер,3
http://www.wikidata.org/entity/Q2638032,Игнатий Николаевич Потапенко,3
http://www.wikidata.org/entity/Q737503,Юхан Лийв,3
http://www.wikidata.org/entity/Q973869,Мирза Шафи Вазех,3
http://www.wikidata.org/entity/Q1254858,"Гощинский, Северин",3
http://www.wikidata.org/entity/Q1355484,"Залеский, Юзеф Богдан",3
http://www.wikidata.org/entity/Q1390527,Семён Григорьевич Фруг,3
http://www.wikidata.org/entity/Q1397000,"Ершов, Пётр Павлович",3
http://www.wikidata.org/entity/Q1737531,Казимир Владислав Войцицкий,3
http://www.wikidata.org/entity/Q1819399,Леонид Петрович Радин,3
http://www.wikidata.org/entity/Q12122449,Мельников Владимир Николаевич,3
http://www.wikidata.org/entity/Q9382873,Влодзимеж Вольский,3
http://www.wikidata.org/entity/Q10853722,Q10853722,3
http://www.wikidata.org/entity/Q835,Михаил Афанасьевич Булгаков,3
http://www.wikidata.org/entity/Q862,Иосиф Александрович Бродский,3
http://www.wikidata.org/entity/Q19425,Пётр Андреевич Вяземский,3
http://www.wikidata.org/entity/Q34474,Александр Исаевич Солженицын,3
http://www.wikidata.org/entity/Q41223,Борис Леонидович Пастернак,3
